Distance,Angle,Velocity,Label
0.449219,-20.3105,0.351562,0
0.453125,-20.428,-0.195312,0
0.390625,-20.3272,-0.15625,0
0.332031,-21.61,-0.15625,0
0.398438,-174.763,0.0,0
0.390625,-20.6988,-0.234375,0
0.394531,-19.5071,0.117188,0
0.492188,-22.6046,0.0390625,0
0.234375,-21.345,0.273438,0
0.429688,-177.439,0.0390625,0
0.300781,-177.579,0.234375,0
0.445312,-19.8822,-0.3125,0
0.457031,-20.3384,-0.15625,0
0.476562,-18.9164,0.15625,0
0.488281,-19.2494,-0.3125,0
0.367188,-176.811,0.15625,0
0.492188,-27.5994,0.273438,0
0.46875,-20.3533,0.273438,0
0.417969,-176.355,0.0,0
0.332031,-178.933,0.195312,0
0.367188,-19.1032,-0.195312,0
0.488281,-19.2328,-0.234375,0
0.324219,-17.2901,0.0,0
0.4375,-20.5288,-0.195312,0
0.257812,-22.421,0.429688,0
0.335938,-22.0413,-0.117188,0
0.367188,-21.3732,-0.117188,0
0.34375,-24.4526,0.0,0
0.417969,-176.904,0.0,0
0.386719,-26.8561,-0.0390625,0
0.457031,-18.3904,-0.195312,0
0.355469,-19.7521,0.390625,0
0.363281,-176.156,0.3125,0
0.453125,-19.0107,-0.117188,0
0.351562,-20.5176,-0.078125,0
0.476562,-17.5926,-0.15625,0
0.355469,-22.2225,-0.15625,0
0.480469,-19.2124,0.234375,0
0.363281,-18.2873,0.3125,0
0.363281,-22.3737,0.0,0
0.398438,-18.0425,0.351562,0
0.371094,-20.4336,0.429688,0
0.492188,-22.283,0.0390625,0
0.417969,-23.1435,0.0,0
0.398438,-17.3909,-0.234375,0
0.386719,-21.2437,0.0,0
0.355469,-21.7963,-0.0390625,0
0.375,-22.1828,-0.195312,0
0.371094,-18.8794,0.3125,0
0.390625,-173.513,0.0,0
0.378906,-12.5389,0.0,0
0.375,-22.1828,-0.195312,0
0.386719,-27.975,0.0,0
0.496094,-17.5559,-0.273438,0
0.347656,-21.2868,-0.0390625,0
0.457031,-18.0922,0.351562,0
0.359375,-20.796,0.0,0
0.464844,-17.4917,0.234375,0
0.378906,-175.177,0.0,0
0.359375,-21.3488,0.390625,0
0.230469,-22.2773,0.742188,0
0.367188,-20.234,-0.273438,0
0.460938,-21.8189,0.117188,0
0.417969,-20.6857,-0.195312,0
0.378906,-18.8037,0.429688,0
0.339844,-21.8923,0.0390625,0
0.460938,-16.8256,0.273438,0
0.441406,-20.5698,0.3125,0
0.378906,-20.1092,0.46875,0
0.441406,-23.6637,-0.117188,0
0.429688,-28.3458,0.0,0
0.328125,-20.7605,-0.234375,0
0.496094,-175.284,-0.0390625,0
0.429688,-19.1569,-0.15625,0
0.488281,-20.2881,0.078125,0
0.359375,-19.9678,0.390625,0
0.40625,-176.685,0.0390625,0
0.371094,-18.0664,0.390625,0
0.453125,-20.193,-0.15625,0
0.25,-21.0562,0.390625,0
0.382812,-176.709,0.0,0
0.460938,-21.8264,-0.0390625,0
0.386719,-20.912,0.3125,0
0.460938,-19.3995,0.3125,0
0.390625,-17.1199,-0.195312,0
0.390625,-176.469,0.0,0
0.421875,178.552,0.078125,0
0.417969,-19.7781,-0.078125,0
0.394531,64.9042,0.117188,0
0.382812,-179.346,0.0390625,0
0.457031,-23.8796,-0.15625,0
0.339844,-20.6035,-0.0390625,0
0.460938,-20.9045,-0.15625,0
0.453125,-21.9998,0.117188,0
0.359375,-179.97,0.0390625,0
0.363281,-19.4681,-0.234375,0
0.453125,-21.8716,-0.0390625,0
0.378906,-19.1587,-0.234375,0
0.496094,-20.6109,-0.273438,0
0.363281,-16.2528,0.0,0
0.386719,-174.542,0.0390625,0
0.414062,-177.795,0.0,0
0.394531,-20.2098,-0.15625,0
0.464844,-21.4352,-0.234375,0
0.441406,-21.5197,0.3125,0
0.425781,-18.4255,0.273438,0
0.5,-21.8057,0.0390625,0
0.320312,-20.5605,-0.195312,0
0.378906,-20.8409,-0.15625,0
0.371094,-174.666,0.0,0
0.5,-173.532,-0.0390625,0
0.476562,-21.9112,0.0,0
0.433594,-18.5305,0.351562,0
0.460938,-21.3244,-0.234375,0
0.480469,-21.3826,-0.117188,0
0.410156,-28.9176,0.0,0
0.410156,-19.4329,0.351562,0
0.359375,-20.6109,-0.0390625,0
0.414062,-19.4718,-0.195312,0
0.332031,-18.8222,0.351562,0
0.441406,-174.831,0.0,0
0.328125,-18.5158,0.351562,0
0.402344,-175.226,0.0,0
0.382812,-21.2943,0.0,0
0.40625,-18.9977,-0.15625,0
0.457031,-24.3336,-0.0390625,0
0.492188,-20.695,-0.3125,0
0.472656,-21.2943,0.234375,0
0.429688,-28.3458,0.0,0
0.390625,-19.7001,0.0,0
0.460938,-21.1912,-0.234375,0
0.40625,-22.8776,0.0,0
0.375,-17.0193,-0.0390625,0
0.5,-22.2471,0.0,0
0.484375,-20.7231,0.390625,0
0.386719,-21.2437,-0.234375,0
0.402344,-176.581,0.0,0
0.242188,-21.3995,0.273438,0
0.394531,-177.059,0.0,0
0.367188,-25.063,0.0,0
0.394531,-22.0507,-0.117188,0
0.445312,-15.9944,0.273438,0
0.496094,-19.912,0.078125,0
0.496094,-17.9819,-0.195312,0
0.339844,-20.9551,-0.15625,0
0.492188,-19.9603,-0.078125,0
0.335938,-22.6766,-0.15625,0
0.4375,69.0356,0.15625,0
0.398438,-19.845,-0.15625,0
0.441406,-19.4069,-0.234375,0
0.398438,-20.7792,-0.078125,0
0.285156,-20.6707,0.429688,0
0.34375,-25.1557,-0.234375,0
0.386719,-25.9425,0.0,0
0.386719,-16.3111,0.0,0
0.378906,-17.5962,0.234375,0
0.382812,-176.569,0.0390625,0
0.398438,-177.17,0.0,0
0.445312,-20.9607,0.390625,0
0.398438,-20.4504,-0.273438,0
0.347656,179.977,0.195312,0
0.433594,-175.798,0.0,0
0.398438,-18.2192,0.390625,0
0.375,-174.202,0.0390625,0
0.410156,-18.9793,-0.3125,0
0.382812,-176.569,0.0390625,0
0.324219,-21.5498,-0.195312,0
0.394531,-19.6593,-0.195312,0
0.363281,-27.4693,0.0,0
0.425781,-20.3776,0.429688,0
0.445312,-19.6964,-0.273438,0
0.492188,-22.2395,-0.0390625,0
0.429688,-21.8339,-0.0390625,0
0.445312,-20.3142,0.234375,0
0.394531,-177.059,0.0,0
0.355469,-20.3925,0.351562,0
0.496094,-19.2568,0.3125,0
0.386719,-13.0122,0.0,0
0.355469,-21.6814,-0.0390625,0
0.4375,-176.135,0.0,0
0.394531,-18.7575,-0.3125,0
0.488281,-19.2254,0.273438,0
0.386719,-178.431,0.15625,0
0.363281,-175.698,0.0390625,0
0.472656,-22.0394,0.0,0
0.351562,-24.2837,0.0,0
0.453125,-20.8315,-0.3125,0
0.402344,-19.0902,-0.117188,0
0.378906,-19.8395,-0.15625,0
0.3125,-17.3249,0.0,0
0.398438,-18.4347,0.390625,0
0.425781,-176.961,0.0,0
0.433594,-21.5836,0.390625,0
0.398438,-177.422,0.0,0
0.402344,-19.0902,-0.117188,0
0.480469,-17.8165,-0.195312,0
0.4375,69.0356,0.15625,0
0.371094,-174.763,0.078125,0
0.40625,-178.031,0.0,0
0.390625,-24.0863,0.0,0
0.4375,-19.5312,-0.078125,0
0.429688,-177.439,0.0390625,0
0.496094,-16.1545,0.234375,0
0.457031,-174.426,0.195312,0
0.410156,-17.3854,-0.195312,0
0.414062,-29.1756,0.0,0
0.386719,-175.109,0.0390625,0
0.347656,179.823,0.195312,0
0.328125,-26.1858,0.3125,0
0.320312,-22.5572,-0.273438,0
0.476562,-19.5145,-0.234375,0
0.328125,-21.689,-0.0390625,0
0.492188,-18.1363,-0.3125,0
0.449219,-19.78,-0.15625,0
0.363281,-20.1986,-0.15625,0
0.398438,-175.3,0.0,0
0.441406,-177.021,0.117188,0
0.363281,-21.7341,-0.0390625,0
0.347656,-175.224,0.0390625,0
0.484375,-19.5813,-0.273438,0
0.398438,-28.6383,0.0,0
0.484375,-19.4867,-0.195312,0
0.363281,-19.9901,0.0,0
0.46875,-17.4624,0.195312,0
0.34375,-19.3402,-0.0390625,0
0.363281,-19.0107,0.3125,0
0.4375,-177.733,0.0,0
0.484375,-17.7339,-0.273438,0
0.386719,-26.9561,-0.0390625,0
0.480469,-19.5126,-0.3125,0
0.453125,-22.597,-0.078125,0
0.492188,-18.8111,0.390625,0
0.359375,-21.4934,0.390625,0
0.453125,-21.2287,-0.195312,0
0.320312,-20.3422,0.0,0
0.394531,-18.9164,-0.234375,0
0.375,-178.421,0.195312,0
0.4375,-22.5648,0.0,0
0.398438,-176.15,0.0,0
0.410156,-175.733,0.0,0
0.417969,-20.0627,0.3125,0
0.417969,-24.6218,-0.0390625,0
0.34375,-23.9924,-0.0390625,0
0.492188,-22.2017,-0.0390625,0
0.386719,-18.1051,0.273438,0
0.464844,-18.302,-0.234375,0
0.339844,-25.8726,0.390625,0
0.410156,-20.8446,0.3125,0
0.382812,-22.8472,0.0,0
0.339844,-21.0899,-0.15625,0
0.34375,-19.355,0.0390625,0
0.453125,-21.7492,0.0,0
0.425781,-19.3754,-0.117188,0
0.441406,-19.7447,0.3125,0
0.496094,-17.8477,-0.273438,0
0.414062,-19.1643,0.390625,0
0.453125,-20.9869,-0.15625,0
0.363281,-20.5997,-0.0390625,0
0.410156,-24.2166,0.0,0
0.460938,-20.6408,0.0,0
0.398438,-178.139,0.078125,0
0.425781,-19.218,-0.3125,0
0.414062,-23.3338,0.078125,0
0.496094,-20.0794,0.273438,0
0.480469,-21.866,0.078125,0
0.5,-19.4273,0.15625,0
0.453125,-22.2112,0.117188,0
0.402344,-19.3569,-0.234375,0
0.464844,-22.6557,-0.195312,0
0.488281,-19.2328,-0.234375,0
0.476562,-21.193,0.0390625,0
0.351562,-175.654,0.0390625,0
0.433594,-19.5126,-0.273438,0
0.390625,-176.294,0.117188,0
0.355469,-20.2788,-0.195312,0
0.425781,-21.1874,0.078125,0
0.351562,-26.6583,0.0,0
0.429688,-28.3458,0.0,0
0.402344,-14.5624,0.0,0
0.402344,-176.581,0.0,0
0.378906,-177.558,0.15625,0
0.480469,-17.833,-0.273438,0
0.421875,-11.7358,0.15625,0
0.402344,-27.7297,0.0,0
0.433594,-175.526,0.0,0
0.382812,-24.6641,-0.15625,0
0.355469,-23.805,0.0,0
0.40625,-28.2188,0.0,0
0.347656,-176.7,0.234375,0
0.421875,-23.3529,0.0390625,0
0.261719,-179.629,0.273438,0
0.460938,-21.7172,-0.15625,0
0.417969,-175.765,0.078125,0
0.339844,-179.19,0.390625,0
0.472656,-24.7988,-0.0390625,0
0.378906,-20.667,-0.0390625,0
0.480469,-19.611,-0.234375,0
0.417969,-20.0366,-0.234375,0
0.398438,-177.362,0.0390625,0
0.484375,-17.0559,-0.15625,0
0.382812,-19.3828,-0.15625,0
0.40625,-30.9271,0.0,0
0.441406,-174.831,0.0,0
0.371094,-30.2223,0.0,0
0.324219,-177.502,0.273438,0
0.425781,-176.536,0.0,0
0.347656,-27.5127,0.0,0
0.433594,-22.2905,-0.117188,0
0.367188,-23.5416,-0.0390625,0
0.46875,-21.1649,-0.195312,0
0.34375,-179.122,0.273438,0
0.402344,-176.366,0.0,0
0.351562,-21.9772,0.390625,0
0.359375,-22.1375,-0.15625,0
0.453125,-175.71,0.0,0
0.355469,-20.7698,0.0,0
0.453125,-21.2268,0.15625,0
0.332031,-19.5609,-0.0390625,0
0.359375,-22.1451,0.351562,0
0.351562,-24.2837,0.0,0
0.445312,-20.3776,-0.15625,0
0.472656,-18.8055,-0.15625,0
0.4375,-176.161,0.0390625,0
0.234375,-15.5964,0.625,0
0.382812,-16.3895,0.0,0
0.480469,-20.7848,0.15625,0
0.390625,-19.5702,-0.234375,0
0.355469,-179.311,0.195312,0
0.46875,-20.6819,0.0390625,0
0.480469,-175.147,-0.0390625,0
0.398438,-22.9269,0.234375,0
0.496094,-19.1513,0.429688,0
0.382812,-19.6853,0.390625,0
0.351562,-20.7548,-0.0390625,0
0.242188,-19.7205,0.429688,0
0.351562,-21.5648,0.390625,0
0.386719,-19.1161,-0.15625,0
0.34375,-20.0794,0.429688,0
0.40625,-20.8371,-0.078125,0
0.40625,-24.5275,0.0,0
0.339844,-23.1511,-0.117188,0
0.492188,-21.5404,-0.078125,0
0.46875,-20.2695,-0.273438,0
0.457031,-24.666,0.0390625,0
0.382812,-21.2212,0.390625,0
0.417969,-20.1595,-0.234375,0
0.382812,-174.167,0.117188,0
0.398438,-176.411,0.0,0
0.445312,-20.2601,-0.078125,0
0.457031,-20.9944,0.0390625,0
0.460938,-17.9175,-0.15625,0
0.351562,-23.9408,0.0,0
0.355469,-23.1036,0.0,0
0.289062,-178.02,0.195312,0
0.472656,-17.9708,-0.234375,0
0.375,-29.8084,0.0,0
0.429688,-177.439,0.0390625,0
0.367188,179.507,0.15625,0
0.347656,-19.9864,-0.234375,0
0.496094,-18.7686,-0.3125,0
0.414062,-22.6292,0.0,0
0.351562,-174.538,0.078125,0
0.378906,-19.5609,-0.195312,0
0.410156,-18.9515,-0.15625,0
0.351562,-16.1563,0.0,0
0.4375,-19.5646,-0.3125,0
0.398438,-176.411,0.0,0
0.375,-21.5329,0.390625,0
0.492188,-19.8023,-0.3125,0
0.378906,-175.07,0.078125,0
0.449219,-20.9925,0.078125,0
0.367188,-24.8027,0.0,0
0.441406,-18.6855,0.15625,0
0.339844,-178.033,0.15625,0
0.394531,-18.6837,-0.273438,0
0.363281,-176.937,0.117188,0
0.421875,-15.542,-0.273438,0
0.335938,-19.9641,0.390625,0
0.433594,-18.4439,0.351562,0
0.46875,-20.0515,0.15625,0
0.445312,-20.1707,0.273438,0
0.433594,-17.2316,0.234375,0
0.371094,-18.396,-0.234375,0
0.410156,-174.931,0.0,0
0.425781,-20.8858,0.351562,0
0.433594,-173.985,0.15625,0
0.296875,-178.758,0.195312,0
0.492188,-19.3699,-0.273438,0
0.367188,-16.8274,0.0,0
0.410156,-28.9176,0.0,0
0.394531,-20.2527,-0.195312,0
0.472656,-19.192,0.195312,0
0.347656,-20.9794,-0.15625,0
0.390625,-20.2359,-0.0390625,0
0.429688,-175.83,0.0,0
0.355469,-24.2856,0.0,0
0.378906,-26.1138,-0.0390625,0
0.441406,-19.2439,0.390625,0
0.414062,-174.851,0.0390625,0
0.398438,-177.17,0.0,0
0.394531,-18.7501,0.390625,0
0.375,-21.0768,0.273438,0
0.40625,-33.3976,0.0,0
0.371094,-17.0394,-0.273438,0
0.375,-23.4767,0.0,0
0.492188,-176.443,0.0,0
0.425781,-177.215,0.117188,0
0.386719,-26.5801,0.0,0
0.480469,-18.0775,0.390625,0
0.402344,-29.2257,0.0,0
0.390625,-25.822,0.0,0
0.402344,-17.732,-0.195312,0
0.496094,-19.5201,0.273438,0
0.394531,-22.5951,0.3125,0
0.417969,-21.2699,-0.15625,0
0.269531,-23.0941,0.390625,0
0.402344,-20.9476,0.351562,0
0.441406,-17.521,-0.273438,0
0.363281,-17.721,0.429688,0
0.375,-19.4051,0.0,0
0.375,-20.9532,-0.15625,0
0.34375,-17.1163,0.0,0
0.34375,-23.1778,-0.15625,0
0.472656,-16.8146,-0.234375,0
0.371094,-18.4162,-0.234375,0
0.445312,-19.4014,0.273438,0
0.40625,-19.2161,-0.234375,0
0.449219,-20.5979,-0.273438,0
0.417969,-22.8188,0.0390625,0
0.488281,-22.5478,-0.078125,0
0.386719,-23.431,0.0,0
0.335938,-19.7503,-0.078125,0
0.464844,-22.4456,-0.078125,0
