Distance,Angle,Velocity,Label
0.417969,-19.6574,-0.234375,0
0.238281,-11.0972,0.625,0
0.445312,11.9234,0.0,1
0.367188,-20.3981,-0.273438,0
0.375,-18.7668,0.195312,0
0.324219,58.5169,0.9375,1
0.367188,-29.6151,0.0,0
0.464844,-18.5342,0.351562,0
0.378906,-16.2273,0.0,0
0.351562,-22.4077,-0.117188,0
0.257812,188.118,0.742188,1
0.324219,-19.9585,0.351562,0
0.351562,85.9646,0.507812,1
0.457031,-8.94328,0.3125,1
0.308594,-8.7787,0.742188,1
0.261719,-18.4273,0.390625,0
0.363281,-21.3506,0.3125,0
0.398438,-4.89835,0.742188,1
0.476562,-21.672,0.0,0
0.441406,-5.43909,0.585938,1
0.488281,-18.6541,0.351562,0
0.203125,69.725,0.3125,1
0.355469,-0.288508,0.546875,1
0.441406,-21.979,-0.15625,0
0.3125,-21.0543,0.390625,0
0.296875,-12.2918,0.78125,1
0.382812,-19.0384,-0.273438,0
0.335938,-8.31897,1.01562,1
0.382812,-19.5423,0.390625,0
0.296875,-17.0486,-0.117188,0
0.316406,85.3719,0.664062,1
0.363281,-22.2225,0.0,0
0.332031,79.9238,0.664062,1
0.457031,-21.315,0.0,0
0.414062,-14.8571,0.742188,1
0.222656,57.6972,0.9375,1
0.488281,-20.0422,-0.234375,0
0.203125,-7.26007,0.664062,1
0.484375,-7.9198,0.742188,1
0.488281,-18.5047,0.234375,0
0.234375,57.5979,0.742188,1
0.214844,82.172,0.429688,1
0.457031,-20.8746,0.078125,0
0.390625,-31.1413,0.0,0
0.363281,-22.4134,-0.117188,0
0.363281,-26.7934,0.0,0
0.371094,-21.866,-0.0390625,0
0.226562,80.4065,1.5625,1
0.214844,-21.0543,0.234375,0
0.410156,9.74069,0.742188,1
0.375,-19.7336,0.0,0
0.449219,-19.47,-0.3125,0
0.476562,-20.596,-0.195312,0
0.226562,164.026,0.664062,1
0.371094,-20.4877,0.46875,0
0.351562,-24.046,0.0,0
0.425781,-21.6306,0.078125,0
0.246094,80.7876,0.625,1
0.433594,-1.18908,0.546875,1
0.273438,-21.9338,0.390625,0
0.421875,-23.1055,0.078125,0
0.339844,-14.2284,0.117188,1
0.457031,5.67275,0.664062,1
0.464844,-20.1707,-0.273438,0
0.394531,-18.8628,-0.0390625,0
0.5,-19.2328,-0.15625,0
0.5,-18.6246,-0.273438,0
0.210938,178.932,1.28906,1
0.449219,-18.8905,0.3125,0
0.457031,-18.8388,-0.195312,0
0.34375,159.021,0.742188,1
0.429688,-26.4629,0.0,0
0.492188,15.096,0.117188,1
0.410156,-20.6875,0.117188,0
0.476562,9.89153,0.351562,1
0.289062,87.0454,0.664062,1
