Distance,Angle,Velocity,Label
0.308594,184.644,-0.3125,1
0.402344,109.27,-1.52344,1
0.539062,-17.7908,-0.15625,0
0.664062,-17.9488,-0.0390625,0
0.359375,-21.0806,-0.15625,1
0.425781,98.915,-2.1875,1
0.542969,-20.8559,0.0,0
0.535156,-19.676,0.15625,0
0.304688,2.71998,-1.17188,1
0.332031,11.4485,-0.351562,1
0.378906,-31.6535,-0.0390625,0
0.582031,-22.9744,0.0,0
0.566406,-16.2073,0.273438,0
0.195312,-20.5792,-1.01562,1
0.476562,110.219,-2.03125,1
0.25,90.3077,-0.273438,1
0.347656,-23.8605,0.351562,0
0.335938,-21.5573,0.0,0
0.261719,-6.03835,-0.3125,1
0.261719,181.312,-0.585938,1
0.242188,92.1459,-0.703125,1
0.480469,70.9301,-0.3125,1
0.273438,3.04037,-0.625,1
0.328125,158.743,-0.15625,1
0.347656,-5.7114,-1.05469,1
0.386719,-19.951,-0.195312,0
0.222656,162.233,-0.390625,1
0.546875,-19.9399,0.0,0
0.570312,-17.1693,0.0,0
0.460938,-18.3389,-0.195312,0
0.429688,176.057,-0.234375,1
0.574219,-23.763,0.15625,0
0.359375,-24.9569,-0.0390625,0
0.539062,-20.0217,0.078125,0
0.441406,0.129391,-1.17188,1
0.445312,-29.0455,0.0,0
0.359375,-22.385,-0.273438,1
0.230469,7.94805,-0.195312,1
0.367188,-22.2811,-0.195312,0
0.390625,-26.672,0.0,0
0.261719,92.2842,-0.625,1
0.34375,-19.305,-0.234375,0
0.285156,94.6808,-0.78125,1
0.457031,-22.4096,-0.117188,0
0.550781,-25.6338,-0.117188,0
0.511719,-17.2444,0.273438,0
0.34375,-25.233,0.0,0
0.421875,-18.0554,-0.234375,0
0.304688,94.9633,-1.48438,1
0.453125,-23.9274,0.195312,0
0.402344,202.872,-0.429688,1
0.464844,-22.7353,-0.15625,0
0.390625,84.2675,-0.351562,1
0.550781,-18.9109,0.0390625,0
0.269531,175.424,-0.625,1
0.445312,75.914,-0.3125,1
0.46875,9.41442,-1.09375,1
0.480469,-21.3225,0.0,0
0.457031,-22.2131,-0.273438,0
0.480469,-15.1594,-0.078125,0
0.273438,3.04037,-0.625,1
0.238281,172.74,-0.195312,1
0.371094,191.117,-0.390625,1
0.367188,-12.2131,0.195312,0
0.425781,-22.472,0.273438,0
0.40625,-0.966982,-1.83594,1
0.285156,-3.70597,-0.351562,1
0.417969,-23.3433,0.0,0
0.234375,169.236,-0.195312,1
0.261719,-15.1974,-0.390625,1
0.371094,201.456,-0.429688,1
0.542969,-21.785,-0.195312,0
0.40625,87.973,-0.546875,1
0.316406,3.33808,-1.13281,1
0.429688,-16.6704,-0.3125,0
0.339844,91.1768,-0.585938,1
0.40625,185.209,-0.15625,1
0.375,-30.1637,0.0,0
0.511719,-21.0318,0.0390625,0
0.542969,-23.5072,-0.273438,0
0.289062,191.015,-0.3125,1
0.417969,88.0518,-0.546875,1
0.457031,25.9328,-0.78125,1
0.457031,-24.4757,0.0,0
0.324219,-21.9074,-0.234375,0
0.234375,91.9535,-0.46875,1
0.539062,-18.8942,0.078125,0
0.445312,184.039,-0.351562,1
0.453125,8.86186,-0.15625,1
0.496094,-22.5781,0.0,0
0.472656,111.154,-1.09375,1
0.257812,-9.93235,-0.429688,1
0.628906,-24.3739,0.273438,0
