Distance,Angle,Velocity,Label
0.207031,156.099,0.664062,1
0.335938,-20.5213,0.0,0
0.363281,-23.7936,0.351562,0
0.25,160.419,0.390625,1
0.207031,59.5508,0.742188,1
0.230469,66.3879,0.546875,1
0.214844,65.0219,0.78125,1
0.351562,-23.6503,-0.078125,0
0.445312,-21.2775,0.195312,0
0.371094,-6.45699,0.0,1
0.261719,63.7537,0.742188,1
0.417969,186.079,0.625,1
0.339844,103.388,0.664062,1
0.242188,163.403,0.585938,1
0.203125,174.245,0.46875,1
0.253906,62.3749,0.976562,1
0.449219,-15.7072,0.3125,0
0.296875,155.124,0.507812,1
0.5,60.5015,0.820312,1
0.476562,-19.5145,-0.234375,0
0.257812,62.7768,0.507812,1
0.480469,-21.0131,-0.15625,0
0.21875,157.734,0.507812,1
0.21875,148.761,0.546875,1
0.207031,158.908,1.01562,1
0.257812,56.7217,0.429688,1
0.203125,69.7771,1.25,1
0.433594,-19.8655,-0.273438,0
0.210938,80.862,0.390625,1
0.382812,-21.3,-0.117188,0
0.207031,176.291,0.976562,1
0.261719,59.9394,0.859375,1
0.246094,78.9954,0.507812,1
0.234375,180.226,0.507812,1
0.429688,-19.7614,0.234375,0
0.285156,159.904,0.625,1
0.234375,93.4362,1.36719,1
0.253906,69.2807,0.742188,1
0.421875,-21.6777,0.273438,0
0.492188,-19.5349,0.15625,0
0.351562,-22.6614,-0.15625,0
0.433594,-19.7837,-0.078125,0
0.5,-20.0962,0.390625,0
0.25,186.023,0.46875,1
0.277344,97.9092,1.28906,1
0.21875,152.477,0.78125,1
0.484375,-19.6463,0.390625,0
0.203125,85.9856,1.40625,1
0.214844,75.9032,0.46875,1
0.253906,-7.08384,0.46875,1
0.335938,-18.396,0.351562,0
0.378906,173.861,1.05469,1
0.203125,86.2274,1.01562,1
0.234375,93.3188,0.585938,1
0.207031,164.978,0.742188,1
0.207031,91.4952,0.625,1
0.460938,108.147,-0.664062,1
0.335938,-22.9649,-0.078125,0
0.265625,89.1677,1.44531,1
0.195312,-9.73892,0.351562,1
0.234375,159.563,0.585938,1
0.230469,162.213,0.546875,1
0.453125,-3.91275,1.05469,1
0.210938,67.3348,0.46875,1
0.5,-18.0241,0.195312,0
0.34375,187.708,0.507812,1
0.25,184.765,0.859375,1
0.207031,156.174,0.976562,1
0.464844,59.7979,0.664062,1
0.207031,160.949,0.78125,1
0.203125,178.307,1.5625,1
0.296875,94.1862,0.742188,1
0.277344,100.565,0.625,1
0.363281,-21.0243,1.17188,1
0.230469,76.0023,1.71875,1
0.21875,77.8782,0.3125,1
0.230469,66.2007,0.78125,1
0.292969,71.6096,0.46875,1
0.203125,173.202,0.351562,1
0.242188,91.0772,0.351562,1
0.261719,-6.61538,0.46875,1
0.328125,-20.0981,-0.195312,0
0.269531,75.9483,0.78125,1
0.226562,77.744,0.625,1
0.429688,-18.1437,-0.234375,0
0.5,-18.6652,-0.078125,0
0.203125,165.114,0.898438,1
0.261719,87.8261,0.546875,1
0.316406,85.4122,0.820312,1
0.46875,-13.1702,0.0390625,0
0.203125,161.51,0.703125,1
0.472656,-22.5383,-0.273438,0
0.351562,-21.4652,-0.078125,0
0.316406,7.9657,0.46875,1
0.203125,89.3128,0.625,1
0.226562,67.5998,1.40625,1
0.242188,76.0276,0.351562,1
0.34375,-16.8895,0.0,0
0.199219,-3.09115,1.40625,1
0.3125,161.704,0.703125,1
0.214844,169.476,0.585938,1
0.355469,-18.2063,-0.195312,0
0.273438,73.368,0.429688,1
0.328125,-22.062,0.0,0
0.453125,-19.0754,-0.234375,0
0.222656,166.002,0.859375,1
0.222656,65.7508,0.742188,1
0.496094,3.74802,0.0390625,1
0.320312,-21.4183,-0.195312,0
0.234375,162.105,1.01562,1
0.210938,68.2169,1.44531,1
0.398438,52.2525,0.742188,1
0.230469,74.3872,0.625,1
0.238281,72.1468,0.898438,1
0.46875,-19.8413,-0.195312,0
0.464844,7.49456,0.429688,1
0.226562,166.15,0.507812,1
0.417969,-4.80534,-0.117188,1
0.210938,63.8142,0.585938,1
0.25,-3.72349,0.15625,1
0.207031,177.578,0.820312,1
0.464844,-18.5342,0.351562,0
0.234375,163.101,0.585938,1
0.285156,82.0996,0.507812,1
0.214844,156.432,0.898438,1
0.253906,88.9701,1.05469,1
0.207031,178.83,0.546875,1
0.339844,59.1646,0.703125,1
0.230469,173.52,0.742188,1
0.351562,96.9341,0.507812,1
0.234375,166.125,0.390625,1
0.273438,158.642,0.625,1
0.488281,-19.8841,-0.273438,0
0.417969,-28.0265,0.0,0
0.25,161.527,0.585938,1
0.371094,-19.5627,-0.0390625,0
0.25,76.9411,1.21094,1
0.429688,-22.2603,-0.117188,0
0.3125,96.3989,0.703125,1
0.457031,-21.721,-0.15625,0
0.21875,86.711,0.585938,1
0.253906,74.962,0.507812,1
0.289062,175.647,1.17188,1
0.269531,64.2013,0.429688,1
0.25,162.605,0.507812,1
0.214844,157.968,0.742188,1
0.328125,80.5359,0.820312,1
0.332031,-23.0314,0.0,0
0.433594,-17.7283,0.3125,0
0.269531,100.325,0.742188,1
0.359375,-21.4276,-0.117188,0
0.308594,63.2732,0.546875,1
0.339844,-14.2266,0.3125,0
0.445312,-16.1509,0.273438,0
0.210938,176.215,0.46875,1
0.246094,89.3198,0.351562,1
0.324219,-6.7527,0.078125,1
0.363281,84.596,0.78125,1
0.269531,90.5858,0.742188,1
0.253906,69.8368,0.46875,1
0.285156,-28.9236,0.3125,0
0.21875,159.881,0.46875,1
0.296875,156.683,0.585938,1
0.417969,5.28806,0.46875,1
0.226562,91.0457,0.9375,1
0.210938,81.4848,0.898438,1
0.316406,58.736,0.46875,1
0.492188,-18.5988,-0.234375,0
0.273438,163.384,0.820312,1
0.289062,185.754,0.585938,1
0.269531,82.2796,1.09375,1
0.203125,73.7654,0.3125,1
0.234375,69.3723,0.429688,1
0.347656,164.851,0.546875,1
0.484375,-17.4844,-0.234375,0
0.214844,68.0096,0.390625,1
0.265625,157.558,0.703125,1
0.402344,-20.9813,-0.117188,0
0.484375,-15.6636,0.46875,1
0.265625,94.2826,0.46875,1
0.222656,167.585,0.46875,1
0.449219,-20.6165,0.0,0
0.230469,159.165,0.390625,1
0.257812,78.5694,0.429688,1
0.332031,-8.04693,0.625,1
0.351562,-22.4134,0.0,0
0.222656,162.248,0.546875,1
0.25,64.1041,0.46875,1
0.40625,-20.0664,0.351562,0
0.242188,68.2772,0.742188,1
0.488281,-21.1743,0.0390625,0
0.277344,185.877,0.546875,1
0.398438,-19.8748,0.0,0
0.203125,157.728,0.78125,1
0.269531,89.6923,0.9375,1
0.234375,159.15,0.46875,1
0.289062,87.6896,1.21094,1
0.375,-20.2135,0.0,0
0.21875,160.502,0.820312,1
0.453125,-21.5535,0.0390625,0
0.347656,-21.8132,0.0,0
0.226562,70.3797,0.507812,1
0.25,186.286,0.664062,1
0.320312,89.7028,0.546875,1
0.390625,0.171356,0.664062,1
0.375,-19.381,-0.273438,0
0.207031,148.625,0.664062,1
0.449219,-19.3143,-0.195312,0
0.21875,73.7089,0.703125,1
0.214844,159.066,0.3125,1
0.25,181.649,0.859375,1
0.445312,-20.4504,-0.234375,0
0.304688,8.26243,0.664062,1
0.449219,-16.5408,0.195312,1
0.253906,76.0204,0.820312,1
0.253906,80.5998,1.13281,1
0.25,77.2533,0.859375,1
0.289062,-27.973,0.351562,0
0.339844,-21.0543,0.0,0
0.457031,-18.9182,-0.234375,0
0.238281,184.586,0.664062,1
0.203125,92.6675,0.429688,1
0.214844,146.979,0.429688,1
0.203125,79.4529,0.703125,1
0.210938,74.9547,1.32812,1
0.46875,-9.26911,0.15625,0
0.289062,53.9212,0.78125,1
0.480469,-17.9763,-0.351562,0
0.3125,187.174,0.46875,1
0.203125,167.61,1.09375,1
0.285156,81.5803,1.13281,1
0.238281,188.455,0.351562,1
0.273438,182.183,0.390625,1
0.492188,-20.8559,-0.273438,0
0.277344,180.86,0.9375,1
0.230469,165.04,0.664062,1
0.324219,-25.6687,-0.15625,0
0.207031,91.4042,1.83594,1
0.367188,-19.242,-0.078125,0
0.378906,-18.7464,0.351562,0
0.25,183.522,0.625,1
0.28125,154.486,0.742188,1
0.230469,177.199,0.625,1
0.210938,170.749,0.585938,1
0.273438,80.1635,0.78125,1
0.214844,152.078,0.585938,1
0.421875,-20.0571,-0.234375,0
0.257812,68.454,1.13281,1
0.226562,172.241,0.664062,1
0.488281,-20.4765,-0.3125,0
0.324219,64.7747,0.46875,1
0.207031,181.723,1.21094,1
0.386719,-26.5801,0.0,0
0.21875,160.647,0.742188,1
0.257812,186.292,1.01562,1
0.265625,160.108,0.429688,1
0.21875,164.598,0.390625,1
0.304688,58.1203,0.625,1
0.210938,159.03,0.390625,1
0.265625,155.929,1.05469,1
0.203125,176.725,0.46875,1
0.21875,181.672,1.05469,1
0.214844,84.1761,0.390625,1
0.382812,-29.6916,0.0,0
0.210938,79.9931,0.703125,1
0.21875,182.375,0.546875,1
0.339844,-17.576,-0.0390625,0
0.203125,160.025,0.859375,1
0.339844,-21.2531,0.0,0
0.214844,160.094,1.09375,1
0.203125,158.448,0.429688,1
0.5,-20.854,-0.195312,0
0.222656,159.404,0.46875,1
0.441406,-23.4062,0.078125,0
0.335938,-19.7503,-0.078125,0
0.207031,167.755,0.703125,1
0.242188,186.411,0.78125,1
0.34375,-4.29842,0.703125,1
0.214844,163.966,0.429688,1
0.496094,-8.74508,0.117188,1
0.464844,-19.5943,-0.234375,0
0.21875,82.7205,0.3125,1
0.300781,-6.96756,1.05469,1
0.234375,74.8279,1.09375,1
0.226562,71.475,1.17188,1
0.207031,167.561,0.898438,1
0.339844,-20.428,-0.0390625,0
0.398438,-14.9403,0.0,0
0.203125,157.743,0.9375,1
0.339844,-20.3925,-0.234375,0
0.230469,78.6586,1.21094,1
0.226562,89.3775,1.17188,1
0.210938,87.6108,0.429688,1
0.355469,-20.652,-0.078125,0
0.421875,-21.2587,0.3125,0
0.210938,153.046,1.36719,1
0.246094,164.095,0.546875,1
0.242188,180.43,0.78125,1
0.21875,93.3608,0.546875,1
0.222656,87.7893,1.36719,1
0.472656,-22.5781,-0.078125,0
0.207031,176.277,0.898438,1
0.320312,81.8029,0.546875,1
0.289062,87.9818,0.625,1
0.253906,85.3912,0.703125,1
0.210938,84.0724,0.390625,1
0.242188,64.1236,0.703125,1
