Distance,Angle,Velocity,Label
0.351562,-19.6815,-0.195312,0
0.484375,6.57314,0.429688,1
0.378906,-15.4984,0.0,0
0.414062,-21.3413,0.390625,0
0.210938,157.94,0.46875,1
0.484375,-17.4495,0.234375,0
0.328125,-20.5194,-0.234375,0
0.425781,-17.5247,0.351562,0
0.414062,-20.2434,-0.273438,0
0.210938,-7.6639,0.507812,1
0.480469,-23.1854,0.0,0
0.429688,16.5317,0.820312,1
0.355469,-20.7175,-0.15625,0
0.300781,70.8098,1.01562,1
0.402344,-29.0755,0.0,0
0.390625,-27.5048,0.0,0
0.269531,-23.0941,0.390625,0
0.238281,-10.0389,1.09375,1
0.488281,-19.611,0.195312,0
0.257812,156.771,0.898438,1
0.203125,157.344,0.820312,1
0.21875,62.4499,1.28906,1
0.230469,186.332,0.46875,1
0.332031,-21.0468,0.351562,0
0.496094,-9.55801,0.078125,0
0.339844,-22.2489,-0.0390625,0
0.464844,-18.1952,0.390625,0
0.480469,-23.4081,0.0,0
0.460938,-19.7187,-0.15625,0
0.183594,-6.62242,1.21094,1
0.355469,-17.1126,-0.078125,0
0.480469,-22.5023,0.117188,0
0.417969,-20.6763,0.3125,0
0.480469,-16.6375,-0.195312,0
0.300781,-3.75678,0.742188,1
0.378906,-20.2154,0.0,0
0.386719,0.975726,0.546875,1
0.449219,-21.4089,-0.078125,0
0.226562,-22.851,0.742188,0
0.496094,9.1646,-0.0390625,1
0.34375,-17.8606,0.46875,0
0.273438,70.8839,0.585938,1
0.359375,-26.5273,0.0,0
0.453125,-18.8794,-0.195312,0
0.34375,-21.3525,0.0,0
0.300781,96.223,0.742188,1
0.375,-12.7862,0.0,0
0.226562,159.103,0.390625,1
0.375,-20.7904,-0.117188,0
0.488281,0.961736,0.351562,1
0.433594,-16.7142,0.390625,0
0.410156,17.9966,0.78125,1
0.492188,-22.5459,0.0,0
0.414062,-7.04155,0.664062,1
0.234375,-10.9636,0.820312,1
0.402344,-27.7653,0.0,0
0.46875,-21.2249,0.234375,0
0.433594,-20.7922,-0.117188,0
0.328125,-17.9139,-0.0390625,0
0.390625,-16.0744,-0.273438,0
0.4375,-18.1603,0.351562,0
0.402344,-7.43284,0.46875,1
0.402344,-14.8625,0.46875,0
0.371094,-23.1606,-0.078125,0
0.460938,-20.71,-0.195312,0
0.460938,-19.0199,-0.273438,0
0.414062,-20.4672,-0.273438,0
0.273438,0.748391,1.5625,1
0.425781,-22.368,-0.15625,0
0.484375,-17.4844,-0.234375,0
0.46875,-20.5941,0.351562,0
0.367188,-23.2063,0.273438,0
0.5,-17.2956,0.195312,0
0.378906,-18.2026,0.3125,0
0.351562,-22.5023,0.390625,0
0.5,-18.1051,0.234375,0
0.324219,-6.55026,0.78125,1
0.5,-17.3634,-0.234375,0
0.421875,-23.3529,0.0390625,0
0.335938,-23.4729,-0.15625,0
0.492188,-18.8683,-0.234375,0
0.449219,-19.9938,0.0390625,0
0.386719,-20.5717,0.3125,0
0.328125,-22.062,0.0,0
0.367188,-19.1106,0.429688,0
0.398438,-31.5159,0.0,0
0.394531,-31.4606,0.0,0
0.457031,-21.36,0.15625,0
0.230469,-3.67268,0.976562,1
0.492188,2.97033,0.195312,1
0.359375,-19.9343,0.507812,0
0.386719,-11.8823,0.0,0
0.402344,-14.5624,0.0,0
0.414062,-29.1756,0.0,0
0.382812,-24.9935,0.0,0
0.484375,-19.6463,0.390625,0
0.367188,-19.2828,0.0,0
0.421875,-20.3683,0.3125,0
0.34375,-6.31271,0.78125,1
0.496094,-22.6993,0.0,0
0.449219,-22.6766,0.117188,0
0.453125,8.07518,0.429688,1
0.355469,-20.7175,-0.15625,0
0.445312,-12.5102,0.273438,0
0.242188,174.784,0.390625,1
0.261719,67.1869,0.46875,1
0.410156,-21.5103,0.234375,0
0.421875,-23.9905,0.0,0
0.457031,-1.21707,0.664062,1
0.40625,-18.3941,0.273438,0
0.472656,-20.6969,-0.15625,0
0.195312,-6.12979,0.585938,1
0.367188,-22.6046,-0.234375,0
0.25,76.9411,1.21094,1
0.476562,-7.26712,0.117188,1
