Distance,Angle,Velocity,Label
0.355469,177.131,-0.390625,1
0.285156,-15.6073,-1.28906,1
0.265625,-10.2325,-0.3125,1
0.457031,10.2769,-0.46875,1
0.472656,-19.8636,0.273438,0
0.316406,94.851,-0.585938,1
0.707031,0.711669,0.15625,0
0.402344,-28.9715,0.0,0
0.332031,11.4485,-0.351562,1
0.5625,-23.4577,-0.117188,0
0.257812,189.812,-0.15625,1
0.625,-19.8581,0.0,0
0.25,91.6071,-0.859375,1
0.289062,7.34468,-0.195312,1
0.558594,-19.7763,-0.15625,0
0.351562,7.76271,-0.898438,1
0.378906,-31.6535,-0.0390625,0
0.582031,-19.9455,-0.390625,0
0.492188,-21.1837,0.0390625,0
0.304688,-21.3638,0.0390625,0
0.277344,164.195,-0.46875,1
0.355469,-27.56,0.0,0
0.585938,-19.4626,0.0,0
0.554688,-22.8244,-0.195312,0
0.230469,185.852,-0.429688,1
0.714844,-20.0888,0.15625,0
0.5625,-11.3521,0.0,0
0.453125,-31.6062,0.117188,0
0.492188,-19.9101,-0.15625,0
0.550781,-18.3702,-0.234375,0
0.371094,-18.824,-0.195312,0
0.308594,15.0815,-0.3125,1
0.542969,-19.7317,0.117188,0
0.46875,-16.5445,0.3125,0
0.394531,98.6213,-0.9375,1
0.316406,94.851,-0.585938,1
0.691406,7.94452,0.0390625,0
0.59375,-23.5339,0.3125,0
0.585938,-19.6593,-0.351562,0
0.449219,-19.0477,-0.195312,0
0.394531,23.8528,-0.9375,1
0.433594,93.0089,-0.546875,1
0.273438,-2.40843,-0.546875,1
0.386719,194.178,-0.15625,1
0.324219,-23.7152,0.0,0
0.417969,-19.1735,0.078125,0
0.5,-18.4107,0.195312,0
0.433594,93.0089,-0.546875,1
0.273438,15.9671,-1.05469,1
0.292969,187.537,-0.429688,1
0.484375,115.603,-1.25,1
0.3125,5.15813,-1.01562,1
0.582031,-23.0523,-0.0390625,0
0.246094,177.354,-0.3125,1
0.265625,-1.87826,-0.546875,1
0.3125,181.506,-0.351562,1
0.285156,92.3244,-0.15625,1
0.554688,-20.2247,-0.234375,0
0.460938,-0.767627,-0.3125,1
0.238281,186.584,-0.195312,1
0.445312,86.5323,-0.625,1
0.703125,-12.7001,0.0,0
0.359375,160.201,-0.3125,1
0.316406,-19.5646,0.0,0
0.417969,198.778,-0.351562,1
0.398438,-21.1387,0.3125,0
0.285156,190.729,-1.21094,1
0.414062,80.3072,-0.585938,1
0.488281,-19.6017,0.3125,0
0.375,105.025,-1.95312,1
0.390625,-19.1791,0.195312,0
0.464844,-22.2622,0.351562,0
0.527344,-22.2546,0.117188,0
0.472656,-15.3352,-0.15625,0
0.300781,-15.5256,-1.52344,1
0.566406,-16.6485,0.0,0
0.359375,89.6363,-0.546875,1
0.238281,-26.5195,0.273438,0
0.285156,175.726,-0.195312,1
0.390625,-27.3098,0.0,0
0.40625,-7.20719,-0.546875,1
0.347656,1.34824,-0.46875,1
0.464844,9.18585,-0.234375,1
0.488281,107.442,-1.17188,1
0.460938,-17.4422,0.0,0
0.246094,5.19324,-0.46875,1
0.339844,91.1768,-0.585938,1
0.441406,97.6727,-0.234375,1
0.199219,180.126,-0.15625,1
0.53125,-24.3048,-0.15625,0
0.253906,92.4609,-0.234375,1
0.457031,10.2769,-0.46875,1
0.464844,93.9425,-0.351562,1
0.527344,-11.0847,0.0,0
0.613281,-21.1105,0.234375,0
0.578125,-19.7094,0.0390625,0
0.5,-19.2828,0.0,0
0.414062,-19.4348,0.351562,0
0.402344,-23.1702,0.351562,0
0.449219,103.251,-0.664062,1
0.394531,-25.4748,0.351562,0
0.355469,77.479,-0.703125,1
0.316406,-22.9668,0.0,0
0.410156,-19.7633,-0.195312,0
0.332031,-22.9079,-0.0390625,0
0.40625,183.007,-0.429688,1
0.574219,-23.9848,0.351562,0
0.25,91.4042,-0.625,1
0.585938,-22.1507,0.15625,0
0.304688,-19.9269,-0.273438,0
0.265625,13.9148,-0.195312,1
0.46875,9.41442,-1.09375,1
0.191406,179.883,-0.15625,1
0.273438,20.9532,-0.351562,1
0.5625,-21.1987,-0.195312,0
0.53125,-22.0771,0.117188,0
0.597656,-22.6974,-0.078125,0
0.261719,92.9983,-0.390625,1
0.265625,-9.36834,-0.273438,1
0.234375,91.8853,-0.703125,1
0.246094,175.814,-0.15625,1
0.628906,-16.9809,-0.15625,0
0.421875,195.208,-0.429688,1
0.628906,-17.2535,0.0,0
0.253906,93.9303,-0.664062,1
0.433594,9.20534,-1.09375,1
0.46875,-25.1074,0.234375,0
0.488281,159.831,-0.507812,1
0.285156,7.23363,-0.15625,1
0.246094,-11.8198,-0.546875,1
0.269531,98.0487,-0.9375,1
0.546875,-23.1797,-0.195312,0
0.265625,165.065,-0.15625,1
0.625,-18.4918,0.0,0
0.207031,87.273,-0.351562,1
0.410156,-19.7763,0.3125,0
0.292969,3.45369,-0.195312,1
0.511719,-16.716,0.234375,0
0.363281,-20.4952,0.351562,0
0.292969,97.6639,-0.273438,1
0.253906,184.933,-0.15625,1
0.40625,-23.958,-0.117188,0
0.664062,-20.2844,0.351562,0
0.488281,176.031,-0.351562,1
0.546875,-17.444,-0.390625,0
0.519531,-23.4558,0.0,0
0.226562,92.2982,-0.3125,1
0.480469,108.861,-0.898438,1
0.464844,-20.882,0.351562,0
0.289062,176.823,-0.46875,1
0.238281,164.806,-0.3125,1
0.347656,-18.983,-0.117188,0
0.425781,179.037,-1.25,1
0.347656,86.7723,-0.234375,1
0.371094,-25.5853,0.0,0
0.269531,-14.7829,-1.17188,1
0.265625,165.045,-0.234375,1
0.53125,-20.2154,0.078125,0
0.367188,15.1159,-0.585938,1
0.558594,0.375936,0.0,0
0.296875,87.1435,-0.195312,1
0.449219,100.137,-1.01562,1
0.234375,168.037,-0.234375,1
0.328125,-10.1188,-0.273438,1
0.390625,166.267,-0.3125,1
0.359375,-17.98,-0.3125,1
0.464844,-20.0627,-0.195312,0
0.296875,173.631,-0.351562,1
0.46875,91.4409,-0.15625,1
0.328125,-21.0112,-0.0390625,0
0.304688,1.49516,-0.976562,1
0.371094,-20.9026,0.3125,0
0.445312,-22.0469,-0.15625,0
0.359375,82.1879,-0.351562,1
0.441406,162.455,-0.3125,1
0.539062,-24.7892,0.0,0
0.3125,-22.9896,-0.15625,0
0.285156,18.1934,-0.46875,1
0.398438,67.0655,-0.351562,1
0.617188,-15.7472,-0.0390625,0
0.484375,99.0406,-0.898438,1
0.285156,86.2905,-0.3125,1
0.488281,-17.4056,0.117188,0
0.421875,-22.6652,0.390625,0
0.515625,-17.7724,0.0,0
0.292969,192.422,-0.585938,1
0.542969,-20.1632,-0.3125,0
0.210938,181.742,-0.15625,1
0.328125,-25.0495,0.3125,0
0.359375,32.0239,-1.40625,1
0.453125,-20.2154,-0.195312,0
0.402344,104.432,-1.40625,1
0.222656,184.521,-0.195312,1
0.480469,98.0063,-1.44531,1
0.457031,-20.1614,-0.15625,0
0.546875,-23.5053,-0.15625,0
0.402344,185.843,-0.507812,1
0.433594,15.7072,-1.25,1
0.175781,-21.7153,-0.585938,1
0.402344,-28.9715,0.0,0
0.785156,5.64815,0.0,0
0.382812,7.12613,-0.976562,1
0.410156,-23.0808,-0.0390625,0
0.480469,28.9855,-0.351562,1
0.371094,10.0673,-0.742188,1
0.375,19.7744,-1.21094,1
0.429688,-25.409,0.078125,0
0.511719,-20.0031,0.273438,0
0.652344,-20.1279,0.0,0
0.265625,186.132,-0.703125,1
0.480469,-20.8671,0.390625,0
0.480469,167.676,-0.546875,1
0.402344,-18.7427,-0.195312,0
0.269531,100.499,-1.36719,1
0.480469,-21.2024,-0.0390625,0
0.484375,-9.50659,-0.859375,1
0.519531,-20.6763,0.273438,0
0.363281,-19.8042,-0.234375,0
0.347656,-18.6874,-0.195312,0
0.449219,82.4331,-0.664062,1
0.394531,-19.0199,-0.195312,0
0.480469,151.106,-0.195312,1
0.390625,-22.4702,0.351562,0
0.355469,170.979,-0.9375,1
0.289062,93.5956,-0.273438,1
0.34375,21.3826,-0.46875,1
0.515625,-20.4616,0.078125,0
0.375,-30.1637,0.0,0
0.542969,-24.4641,-0.195312,0
0.480469,-21.3225,0.0,0
0.21875,-19.1809,-0.546875,1
0.363281,101.68,-0.195312,1
0.550781,-19.0662,0.0,0
0.164062,85.8699,-0.546875,1
0.285156,1.76979,-0.898438,1
