Distance,Angle,Velocity,Label
0.496094,0.162613,-0.351562,1
0.496094,-1.26779,-0.273438,1
0.496094,-2.39093,-0.195312,1
0.496094,-2.92131,-0.117188,1
0.496094,-3.29955,0.0,1
0.496094,-4.08628,0.117188,1
0.496094,-5.88188,0.15625,1
0.5,-8.49396,0.273438,1
0.363281,3.25401,0.820312,1
0.320312,2.50119,1.01562,1
0.289062,1.11213,1.36719,1
0.273438,0.748391,1.5625,1
0.25,0.442382,1.28906,1
0.226562,-0.613745,1.25,1
0.210938,-3.22074,1.13281,1
0.199219,-3.09115,1.40625,1
0.191406,-2.35943,1.75781,1
0.191406,-1.59137,1.64062,1
0.257812,3.59909,1.32812,1
0.363281,7.08031,0.976562,1
0.324219,4.99137,0.898438,1
0.28125,3.10691,0.9375,1
0.445312,-4.25633,2.22656,1
0.398438,-3.52551,2.03125,1
0.359375,-4.0074,1.67969,1
0.332031,-3.90399,1.52344,1
0.367188,0.825334,1.25,1
0.398438,5.03525,1.01562,1
0.425781,6.64707,0.625,1
0.453125,4.35804,0.351562,1
0.398438,2.80401,0.3125,1
0.351562,0.862057,0.273438,1
0.328125,0.561287,0.195312,1
0.484375,-4.03194,0.15625,1
0.457031,-3.98987,0.195312,1
0.398438,-4.58078,0.234375,1
0.355469,-4.63867,0.429688,1
0.324219,-6.55026,0.78125,1
0.421875,-5.55854,0.742188,1
0.441406,-5.43909,0.585938,1
0.457031,-9.66796,0.507812,1
0.402344,-7.43284,0.46875,1
0.359375,-5.24592,0.390625,1
0.328125,-6.48338,0.390625,1
0.300781,-8.75039,0.703125,1
0.398438,-10.1366,0.742188,1
0.472656,-7.36055,0.585938,1
0.480469,-4.87729,0.46875,1
0.492188,-0.433639,0.390625,1
0.5,1.47592,0.273438,1
0.449219,-3.87419,0.507812,1
0.398438,-4.89835,0.742188,1
0.355469,-6.58194,1.21094,1
0.320312,-7.21953,1.52344,1
0.359375,-5.75534,1.52344,1
0.449219,-5.02998,1.28906,1
0.472656,-3.13318,1.09375,1
0.484375,0.395171,0.898438,1
0.417969,-0.591013,1.01562,1
0.371094,0.662707,0.859375,1
0.332031,-0.0122397,0.820312,1
0.296875,-0.292005,1.09375,1
0.277344,0.458119,1.17188,1
0.257812,2.16519,0.9375,1
0.242188,2.94232,0.78125,1
0.230469,3.36961,0.625,1
0.226562,4.67024,0.585938,1
0.21875,4.6527,0.820312,1
0.199219,1.90275,0.859375,1
0.195312,-0.77637,0.976562,1
0.195312,-1.13312,1.13281,1
0.257812,-1.40421,0.820312,1
0.308594,-2.20544,0.820312,1
0.351562,-2.47844,0.898438,1
0.390625,0.171356,0.664062,1
0.34375,-0.484348,0.625,1
0.300781,-3.75678,0.742188,1
0.273438,-4.57376,1.13281,1
0.25,-3.83739,1.52344,1
0.355469,-4.59481,1.21094,1
0.445312,-5.18622,0.859375,1
0.460938,-5.195,0.507812,1
0.480469,-6.05593,0.273438,1
0.417969,-6.5925,0.46875,1
0.359375,-7.69213,0.546875,1
0.316406,-8.87248,0.820312,1
0.285156,-7.57041,1.17188,1
0.308594,-5.5972,0.859375,1
0.277344,-5.03174,1.17188,1
0.253906,-4.2125,1.48438,1
0.453125,-3.91275,1.05469,1
0.394531,-4.74919,1.36719,1
0.347656,-4.36154,1.44531,1
0.378906,-0.643472,1.17188,1
0.402344,1.04568,1.01562,1
0.417969,2.5747,0.664062,1
0.371094,1.26429,0.664062,1
0.324219,0.215069,0.664062,1
0.285156,-0.505331,0.703125,1
0.257812,-1.20308,1.01562,1
0.238281,-1.76105,1.13281,1
0.226562,-0.793857,1.01562,1
0.21875,-0.0262279,0.898438,1
0.214844,-0.0646956,0.898438,1
0.199219,-0.923263,0.859375,1
0.1875,-1.78379,0.820312,1
0.175781,-4.84921,0.859375,1
0.167969,-5.48828,1.13281,1
0.167969,-5.70965,1.36719,1
0.230469,-3.67268,0.976562,1
0.222656,-3.68844,0.898438,1
0.203125,-3.83213,0.859375,1
0.191406,-4.90888,0.859375,1
0.183594,-6.62242,1.21094,1
0.1875,-7.62509,1.17188,1
0.246094,-7.18604,0.859375,1
0.292969,-7.13317,0.625,1
0.335938,-7.57393,0.507812,1
0.367188,-7.09088,0.429688,1
0.339844,-8.35962,0.507812,1
0.371094,-8.29953,0.390625,1
0.339844,-9.66442,0.46875,1
0.371094,-8.81585,0.390625,1
0.347656,-9.12564,0.390625,1
0.328125,-9.62185,0.429688,1
0.359375,-9.5456,0.390625,1
0.335938,-10.9191,0.507812,1
0.367188,-11.2077,0.46875,1
0.332031,-13.0284,0.703125,1
0.304688,-13.7293,0.859375,1
0.339844,-13.0786,0.703125,1
0.371094,-14.0788,0.625,1
0.394531,-13.8175,0.585938,1
0.414062,-14.4251,0.507812,1
0.367188,-17.1309,0.429688,1
0.394531,-16.5883,0.3125,1
0.484375,-13.8175,0.625,1
0.425781,-13.7959,0.703125,1
0.386719,-13.5278,0.742188,1
0.410156,-13.8229,0.625,1
0.425781,-16.1491,0.585938,1
0.445312,-16.7379,0.546875,1
0.460938,-16.9626,0.507812,1
0.472656,-17.1949,0.507812,1
0.472656,-16.3312,0.429688,1
0.414062,-14.8571,0.742188,1
0.433594,-13.5764,0.507812,1
0.449219,-11.8502,0.390625,1
0.457031,-8.94328,0.3125,1
0.460938,-8.06282,0.195312,1
0.464844,-7.64097,0.15625,1
0.46875,-0.552544,0.390625,1
0.472656,-0.215069,0.15625,1
0.492188,-0.835826,0.117188,1
0.433594,-1.18908,0.546875,1
0.441406,-0.216818,0.46875,1
0.394531,0.288508,0.390625,1
0.402344,1.23456,0.195312,1
0.496094,-12.5013,0.664062,1
0.441406,-12.4296,0.625,1
0.398438,-14.0643,0.585938,1
0.417969,-15.5638,0.46875,1
0.425781,-18.3204,0.351562,1
0.382812,-19.0033,0.46875,1
0.339844,-15.7962,0.390625,1
0.296875,-14.223,0.351562,1
0.261719,-15.1159,0.390625,1
0.238281,-15.1232,0.507812,1
0.21875,-14.1365,0.703125,1
0.210938,-14.6889,0.820312,1
0.210938,-14.1148,0.898438,1
0.269531,-12.1397,0.78125,1
0.367188,-7.70801,0.664062,1
0.394531,-6.65939,0.585938,1
0.359375,-8.4038,0.625,1
0.324219,-10.4476,0.625,1
0.296875,-12.2918,0.78125,1
0.285156,-11.411,0.78125,1
0.332031,-11.37,0.664062,1
