Distance,Angle,Velocity
0.5,-20.624,0.0
0.5,-20.624,0.0
0.5,-20.624,0.0
0.5,-20.624,0.0
0.5,-20.624,0.0
0.5,-21.0768,-0.0390625
0.5,-21.0768,-0.0390625
0.5,-21.0768,-0.0390625
0.5,-21.0768,-0.0390625
0.5,-21.0768,-0.0390625
0.5,-21.0768,-0.0390625
0.5,-21.0768,-0.0390625
0.488281,-18.2781,-0.273438
0.488281,-18.2781,-0.273438
0.488281,-18.2781,-0.273438
0.488281,-18.2781,-0.273438
0.488281,-18.2781,-0.273438
0.488281,-18.2781,-0.273438
0.5,-20.4093,-0.3125
0.5,-20.4093,-0.3125
0.5,-20.4093,-0.3125
0.5,-20.4093,-0.3125
0.5,-20.4093,-0.3125
0.5,-20.4093,-0.3125
0.480469,-20.9551,-0.15625
0.480469,-20.9551,-0.15625
0.480469,-20.9551,-0.15625
0.480469,-20.9551,-0.15625
0.480469,-20.9551,-0.15625
0.480469,-20.9551,-0.15625
0.460938,-20.9045,-0.15625
0.460938,-20.9045,-0.15625
0.460938,-20.9045,-0.15625
0.460938,-20.9045,-0.15625
0.460938,-20.9045,-0.15625
0.460938,-20.9045,-0.15625
0.46875,-20.6988,-0.195312
0.46875,-20.6988,-0.195312
0.46875,-20.6988,-0.195312
0.46875,-20.6988,-0.195312
0.46875,-20.6988,-0.195312
0.46875,-20.6988,-0.195312
0.480469,-20.3851,-0.234375
0.480469,-20.3851,-0.234375
0.480469,-20.3851,-0.234375
0.480469,-20.3851,-0.234375
0.480469,-20.3851,-0.234375
0.480469,-20.3851,-0.234375
0.480469,-20.3851,-0.234375
0.492188,-19.4644,-0.273438
0.492188,-19.4644,-0.273438
0.492188,-19.4644,-0.273438
0.492188,-19.4644,-0.273438
0.492188,-19.4644,-0.273438
0.492188,-19.4644,-0.273438
0.472656,-19.5497,-0.234375
0.472656,-19.5497,-0.234375
0.472656,-19.5497,-0.234375
0.472656,-19.5497,-0.234375
0.472656,-19.5497,-0.234375
0.472656,-19.5497,-0.234375
0.433594,-20.1148,-0.234375
0.433594,-20.1148,-0.234375
0.433594,-20.1148,-0.234375
0.433594,-20.1148,-0.234375
0.433594,-20.1148,-0.234375
0.433594,-20.1148,-0.234375
0.40625,-19.5275,-0.234375
0.40625,-19.5275,-0.234375
0.40625,-19.5275,-0.234375
0.40625,-19.5275,-0.234375
0.40625,-19.5275,-0.234375
0.40625,-19.5275,-0.234375
0.40625,-19.5275,-0.234375
0.382812,-20.2732,-0.234375
0.382812,-20.2732,-0.234375
0.382812,-20.2732,-0.234375
0.382812,-20.2732,-0.234375
0.382812,-20.2732,-0.234375
0.382812,-20.2732,-0.234375
0.375,-20.4037,-0.234375
0.375,-20.4037,-0.234375
0.375,-20.4037,-0.234375
0.375,-20.4037,-0.234375
0.375,-20.4037,-0.234375
0.375,-20.4037,-0.234375
0.367188,-20.7866,-0.195312
0.367188,-20.7866,-0.195312
0.367188,-20.7866,-0.195312
0.367188,-20.7866,-0.195312
0.367188,-20.7866,-0.195312
0.367188,-20.7866,-0.195312
0.359375,-21.2268,-0.195312
0.359375,-21.2268,-0.195312
0.359375,-21.2268,-0.195312
0.359375,-21.2268,-0.195312
0.359375,-21.2268,-0.195312
0.359375,-21.2268,-0.195312
0.359375,-21.2268,-0.195312
0.351562,-22.6614,-0.15625
0.351562,-22.6614,-0.15625
0.351562,-22.6614,-0.15625
0.351562,-22.6614,-0.15625
0.351562,-22.6614,-0.15625
0.351562,-22.6614,-0.15625
0.339844,-23.2291,-0.15625
0.339844,-23.2291,-0.15625
0.339844,-23.2291,-0.15625
0.339844,-23.2291,-0.15625
